GENESIS-Tabelle: 22111-0022
Public assistance gross expenditure, revenue,;;;;;;
net expenditure: L�nder, years, types of public assistance;;;;;;
Public assistance expenditure and revenue;;;;;;
;;;;Gross expenditure;Revenue;Net expenditure
2022;Niedersachsen;SOZ-03;Subsistence payments;139142;8220;130922
2022;Niedersachsen;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Niedersachsen;SOZ-05;Assistance towards healthcare;77435;71;77364
2022;Niedersachsen;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Niedersachsen;SOZ-07;Assistance for nursing care;287126;14094;273033
2022;Niedersachsen;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;62316;308;62007
2022;Niedersachsen;;Total;566019;22693;543326
2022;Nordrhein-Westfalen;SOZ-03;Subsistence payments;341732;21753;319980
2022;Nordrhein-Westfalen;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Nordrhein-Westfalen;SOZ-05;Assistance towards healthcare;213193;7026;206167
2022;Nordrhein-Westfalen;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Nordrhein-Westfalen;SOZ-07;Assistance for nursing care;861809;69891;791918
2022;Nordrhein-Westfalen;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;179483;11507;167976
2022;Nordrhein-Westfalen;;Total;1596218;110178;1486040
2022;Rheinland-Pfalz;SOZ-03;Subsistence payments;56997;3364;53634
2022;Rheinland-Pfalz;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Rheinland-Pfalz;SOZ-05;Assistance towards healthcare;12979;361;12618
2022;Rheinland-Pfalz;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Rheinland-Pfalz;SOZ-07;Assistance for nursing care;189000;19083;169917
2022;Rheinland-Pfalz;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;22055;678;21377
2022;Rheinland-Pfalz;;Total;281031;23486;257545
2022;Saarland;SOZ-03;Subsistence payments;14253;623;13630
2022;Saarland;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Saarland;SOZ-05;Assistance towards healthcare;4280;22;4258
2022;Saarland;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Saarland;SOZ-07;Assistance for nursing care;64960;4941;60018
2022;Saarland;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;8399;714;7685
2022;Saarland;;Total;91892;6301;85591
2022;Sachsen;SOZ-03;Subsistence payments;43627;3007;40620
2022;Sachsen;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Sachsen;SOZ-05;Assistance towards healthcare;14060;143;13917
2022;Sachsen;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Sachsen;SOZ-07;Assistance for nursing care;128507;10204;118303
2022;Sachsen;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;13956;362;13594
2022;Sachsen;;Total;200150;13716;186434
2022;Sachsen-Anhalt;SOZ-03;Subsistence payments;36699;1782;34917
2022;Sachsen-Anhalt;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Sachsen-Anhalt;SOZ-05;Assistance towards healthcare;8345;63;8282
2022;Sachsen-Anhalt;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Sachsen-Anhalt;SOZ-07;Assistance for nursing care;57312;428;56884
2022;Sachsen-Anhalt;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;5376;44;5332
2022;Sachsen-Anhalt;;Total;107733;2317;105416
2022;Schleswig-Holstein;SOZ-03;Subsistence payments;68277;4801;63476
2022;Schleswig-Holstein;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Schleswig-Holstein;SOZ-05;Assistance towards healthcare;29559;274;29285
2022;Schleswig-Holstein;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Schleswig-Holstein;SOZ-07;Assistance for nursing care;102091;6823;95268
2022;Schleswig-Holstein;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;15865;224;15642
2022;Schleswig-Holstein;;Total;215793;12122;203671
2022;Th�ringen;SOZ-03;Subsistence payments;28948;2620;26328
2022;Th�ringen;SOZ-04;Basic sec.benefits in old age,red.earning capacity;-;-;-
2022;Th�ringen;SOZ-05;Assistance towards healthcare;6702;81;6621
2022;Th�ringen;SOZ-06;Integration assistance for disabled people;-;-;-
2022;Th�ringen;SOZ-07;Assistance for nursing care;70144;18067;52077
2022;Th�ringen;SOZ-08-09;Assist.in overcoming special soc.difficulties etc.;7183;150;7033
2022;Th�ringen;;Total;112976;20917;92059
